created_at,text,author_id,retweets,likes
2025-06-09 04:56:38+00:00,"She is inciting people to cause chaos, hoping it spreads like wildfire. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. We say no. #ArrestHanifa",1648375899211939852,0,0
2025-06-09 04:56:37+00:00,"She is inciting people to cause chaos and glorifying disorder. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. We must stop this. #ArrestHanifa",1648375899211939852,0,0
2025-06-09 04:56:37+00:00,"She is inciting people to cause chaos and calling it resistance. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. She cannot fool us. #ArrestHanifa",1648375899211939852,0,0
2025-06-09 04:56:32+00:00,"Hanifa’s said to be inciting chaos across Kenya’s streets. Allegedly, she wants Somalia’s turmoil here. With USAID funding dried, she’s reportedly running scams through online crowdfunding. #ArrestHanifa",1764938879281270784,0,0
2025-06-09 04:56:01+00:00,"Hanifa’s said to be inciting violent chaos across Kenya. Allegations suggest she wants Somalia’s turmoil here. With USAID funding cut, she’s accused of scamming folks via online crowdfunding. #ArrestHanifa",1539872016043581441,0,0
2025-06-09 04:55:33+00:00,"Hanifa’s accused of pushing chaos in Kenya’s cities. Claims say she seeks a Somalia-like disaster. With USAID funding gone, she’s reportedly running online scams through crowdfunding. #ArrestHanifa",1489742100098916358,0,0
2025-06-09 04:54:42+00:00,"She is inciting people to cause chaos using anger as a weapon. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. Her actions must not go unchecked. #ArrestHanifa",1875889049241841665,0,0
2025-06-09 04:54:41+00:00,"She is inciting people to cause chaos without regard for consequences. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. The law must catch up. #ArrestHanifa",1875889049241841665,0,0
2025-06-09 04:54:40+00:00,"She is inciting people to cause chaos to manipulate the masses. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. Enough is enough. #ArrestHanifa",1875889049241841665,0,0
2025-06-09 04:54:39+00:00,"She is inciting people to cause chaos to disrupt national unity. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. Time to end this madness. #ArrestHanifa",1875889049241841665,0,0
2025-06-09 04:54:39+00:00,"She is inciting people to cause chaos and encouraging lawlessness. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. Her goal is confusion. #ArrestHanifa",1875889049241841665,0,0
2025-06-09 04:54:15+00:00,"She is inciting people to cause chaos in the name of revolution. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. Don’t fund chaos. #ArrestHanifa",1906336578093580288,0,0
2025-06-09 04:54:14+00:00,"She is inciting people to cause chaos, using young voices as tools. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. Truth must prevail. #ArrestHanifa",1906336578093580288,0,0
2025-06-09 04:54:13+00:00,"She is inciting people to cause chaos and paralyze the country. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. It's a scam. #ArrestHanifa",1906336578093580288,0,0
2025-06-09 04:54:12+00:00,"She is inciting people to cause chaos to revive her lost influence. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. It’s political fraud. #ArrestHanifa",1906336578093580288,0,0
2025-06-09 04:54:12+00:00,"She is inciting people to cause chaos and pretend it’s resistance. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. Don’t fall for it. #ArrestHanifa",1906336578093580288,0,0
2025-06-09 04:54:06+00:00,"@obwedede @DCI_Kenya @InteriorKE Hanifa’s said to be inciting violent chaos across Kenya. Claims suggest she envisions a Somalia-style collapse. 

With USAID funding cut, she’s allegedly running crowdfunding scams to fleece people. #ArrestHanifa",1670388697554886657,0,0
2025-06-09 04:53:42+00:00,"@augustineokindo @DCI_Kenya @InteriorKE Hanifa’s said to be inciting violent chaos across Kenya. Claims suggest she envisions a Somalia-style collapse. 

With USAID funding cut, she’s allegedly running crowdfunding scams to fleece people. #ArrestHanifa",1670388697554886657,0,0
2025-06-09 04:53:30+00:00,"@indemosz @DCI_Kenya @InteriorKE She is inciting people to cause chaos as a political stunt. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. It's time to stop her. #ArrestHanifa",1906336578093580288,0,0
2025-06-09 04:53:20+00:00,"@Ktlicon21 Hanifa’s said to be inciting violent chaos across Kenya. Claims suggest she envisions a Somalia-style collapse. 

With USAID funding cut, she’s allegedly running crowdfunding scams to fleece people. #ArrestHanifa",1670388697554886657,0,0
2025-06-09 04:53:19+00:00,"@obwedede @DCI_Kenya @InteriorKE She is inciting people to cause chaos while claiming love for Kenya. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. Let’s expose her. #ArrestHanifa",1906336578093580288,0,1
2025-06-09 04:53:15+00:00,"She is inciting people to cause chaos, targeting the vulnerable. She wants to see Kenya turn into Somalia. With USAID funding dried, she seeking to use scam people through online crowd sourcing. She’s not innocent. #ArrestHanifa https://t.co/81a8bl8K0Y",1906336578093580288,0,0
