keyword,source,author,title,description,content,publishedAt,url
usaid kenya,PBS,"William Brangham, Molly Knight Raskin",How USAID cuts are impacting the fight against HIV in Kenya,"The Trump administration's cuts to the U.S. Agency for International Development have had reverberations around the world. The agency, which operated in over 100 nations and employed thousands of people, has been virtually eliminated. In partnership with the …","The Trump administration's cuts to the U.S. Agency for International Development have had reverberations around the world. The agency, which operated in over 100 nations and employed thousands of peo… [+175 chars]",2025-06-12T22:25:28Z,https://www.pbs.org/newshour/show/how-usaid-cuts-are-impacting-the-fight-against-hiv-in-kenya
usaid kenya,Chinadigitaltimes.net,Arthur Kaufman,"Polls Show Global Attitudes Towards China Improve, At Expense of U.S.",Numerous public opinion surveys from around the world have highlighted a significant shift in global attitudes towards China. Respondents from countries in both the Global South and Global North have expressed increasingly favorable views towards China and le…,Numerous public opinion surveys from around the world have highlighted a significant shift in global attitudes towards China. Respondents from countries in both the Global South and Global North have… [+7149 chars],2025-06-12T06:35:07Z,https://chinadigitaltimes.net/?p=704247
usaid kenya,Africasacountry.com,Makena Maganjo,The end of AGOA,"On Wednesday, April 2, 2025, when President Donald Trump issued an executive order introducing reciprocal tariffs","A postmortem on the African Growth and Opportunities Act.



 
 
 Photo by Rosie Kerr on Unsplash
 
 





 
 On Wednesday, April 2, 2025, when President Donald Trump issued an executive order intro… [+10956 chars]",2025-06-09T15:29:13Z,https://africasacountry.com/2025/06/the-end-of-agoa/
usaid kenya,The Irish Times,Martin Wall,"Concern Worldwide faces shutdown in some countries amid budget cuts, lost US funding",Irish international humanitarian agency says more jobs at risk,"Irish international aid agency Concern Worldwide has said that it will have to close its operations in some countries and introduce more staff redundancies as a result of budget cuts.
But it has sai… [+5025 chars]",2025-06-09T05:00:00Z,https://www.irishtimes.com/ireland/2025/06/09/concern-faces-shutdown-in-some-countries-amid-budget-cuts-and-lost-us-funding/
usaid kenya,Thenation.com,"Steven Yoder, Felicia Mello, Alexandra Villarreal, Miles MacClure",How Trump Is Transforming Higher Education: The View from 4 Campuses,"Steven Yoder, Felicia Mello, Alexandra Villarreal, Miles MacClure



At universities in California, Illinois, Louisiana, and Texas, students report changes to clubs, diminished research opportunities, and fears for international students’ safety.




The po…","At universities in California, Illinois, Louisiana, and Texas, students report changes to clubs, diminished research opportunities, and fears for international students safety.
Ad Policy
People wal… [+27298 chars]",2025-06-15T08:45:00Z,https://www.thenation.com/article/society/trump-higher-education-california-illinois-louisiana-texas/
usaid kenya,Africasacountry.com,Mebratu Kelecha,Between Washington and Beijing,"Amid Trump’s tariffs, Africa faces trade disruptions, corporate power, and emerging partnerships in its quest to control its economic destiny.","Amid Trump’s tariffs, Africa faces trade disruptions, corporate power, and emerging partnerships in its quest to control its economic destiny.



 
 
 Port of Lagos, Nigeria. Image © Oussama Obeid vi… [+21739 chars]",2025-06-04T12:14:54Z,https://africasacountry.com/2025/06/between-washington-and-beijing/
usaid kenya,DW (English),Philipp Sandner,Tanzania's crackdown on activists tests East African relations,Opposition activists from Kenya allege that they were detained and tortured in neighboring Tanzania. Leaders there don’t seem to like that cross-border economic cooperation has extended to human rights solidarity. An unusual request from the Kenyan president …,"An unusual request from the Kenyan president caused a stir at the end of May. ""To our neighbors from Tanzania, if we have wronged you in any way, forgive us,"" William Ruto told a delegation of Tanzan… [+5091 chars]",2025-06-07T19:45:00Z,https://www.dw.com/en/tanzanias-crackdown-on-activists-tests-east-african-relations/a-72832572
usaid kenya,DW (English),Jon Shelton,Bill Gates to give most of $200 billion fund to Africa,Bill Gates has urged African leaders to join him in advancing health and development on the continent. He says his foundation will partner with nations putting people's health first. US billionaire Bill Gates on Tuesday announced that the majority of his phil…,"US billionaire Bill Gates on Tuesday announced that the majority of his philanthropic Gates Foundation's $200 billion (175 billion) endowment will be spent in Africa over the next two decades.
Gates… [+4070 chars]",2025-06-03T07:09:00Z,https://www.dw.com/en/bill-gates-to-give-most-of-200-billion-fund-to-africa/a-72769394
usaid kenya,Lse.ac.uk,Blog Team,Is the managed migration of health workers “ethics washing” or something more?,"Many countries across the world struggle with the emigration of health workers. But do frameworks for ethically managing healthcare worker emigration make a real difference? Tine Hanrieder and Leon Janauschek … Continued
The post Is the managed migration of h…",Many countries across the world struggle with the emigration of health workers. But do frameworks for ethically managing healthcare worker emigration make a real difference? Tine HanriederandLeon Jan… [+8539 chars],2025-06-16T08:31:59Z,https://blogs.lse.ac.uk/europpblog/2025/06/16/is-the-managed-migration-of-health-workers-ethics-washing-or-something-more/
usaid kenya,Plos.org,PLOS Global Public Health,Reimagining Antimicrobial Resistance (AMR) financing for Africa amid global funding crises,"By guest contributors Sherin Paul and Mirfin Mpundu Antimicrobial Resistance (AMR), a silent pandemic, widens health inequalities in Africa by disproportionately affecting the…
The post Reimagining Antimicrobial Resistance (AMR) financing for Africa amid glob…","By guest contributors Sherin Paul and Mirfin Mpundu
Antimicrobial Resistance (AMR), a silent pandemic, widens health inequalities in Africa by disproportionately affecting the most vulnerable popula… [+8587 chars]",2025-06-05T20:02:02Z,https://speakingofmedicine.plos.org/2025/06/05/reimagining-antimicrobial-resistance-amr-financing-for-africa-amid-global-funding-crises/
